PSS ID;CATEGORY LIST
MKT-20101;[7,4,6,15]
MKT-20103;[7,4,6,14]
MKT-20104;[4,15]
MKT-20105;[10,15]
MKT-20106;[8,14]
MKT-20107;[7,9,4,6,15]
MKT-20108;[3,14]
MKT-20109;[4,14]
MKT-20110;[7,9,4,14]
MKT-20111;[4,5,14]
MKT-20112;[4,15]
MKT-20113;[4,15]
MKT-20114;[4,14]
MKT-20115;[7,2,3,14]
MKT-20116;[7,8,6,14]
MKT-20117;[1,4,15]
MKT-20118;[1,3,9,14]
MKT-20119;[12,14]
MKT-20120;[4,15]
MKT-20121;[3,4,15]
MKT-20122;[4,15]
MKT-20123;[7,10,12,14]
MKT-20124;[4,5,15]
MKT-20125;[1,7,6,14]
MKT-20126;[3,14]
MKT-20127;[6,15]
MKT-20128;[7,8,11,14]
MKT-20129;[11,14]
MKT-20130;[8,12,14]
MKT-20131;[3,14]
MKT-20132;[7,3,14]
MKT-20133;[4,15]
MKT-20134;[9,14]
MKT-20135;[1,6,15]
MKT-20136;[1,9,4,6,14,15]
MKT-20137;[1,4,14]
MKT-20138;[7,3,6,14]
MKT-20139;[1,2,5,14]
MKT-20140;[4,6,15]
MKT-20141;[1,14]
MKT-20142;[9,4,6,15]
MKT-20143;[3,14]
MKT-20144;[3,14]
MKT-20145;[3,14]
MKT-20146;[12,14]
MKT-20147;[3,4,15]
MKT-20148;[9,12,14]
MKT-20149;[3,4,6,15]
MKT-20150;[10,14]
MKT-20151;[7,3,14]
MKT-20152;[1,5,14]
MKT-20153;[4,6,15]
MKT-20154;[7,3,9,4,6,15]
MKT-20155;[10,14]
MKT-20156;[7,2,9,4,6,15]
MKT-20157;[1,6,15]
MKT-20158;[1,3,5,14]
MKT-20159;[2,4,6,15]
MKT-20160;[12,14]
MKT-20161;[1,9,4,6,15]
MKT-20162;[10,14]
MKT-20163;[4,6,14,15]
MKT-20164;[2,8,14]
MKT-20165;[1,7,6,14,15]
MKT-20167;[9,6,15]
MKT-20168;[1,3,9,5,14]
MKT-20169;[9,4,6,12,15]
MKT-20170;[9,4,6,15]
MKT-20171;[7,3,9,4,6,14,15]
MKT-20172;[9,4,6,15]
MKT-20174;[2,3,14]
MKT-20175;[7,3,14]
MKT-20176;[1,14]
MKT-20177;[8,14]
MKT-20178;[7,8,14]
MKT-20179;[7,9,6,14]
MKT-20180;[7,4,6,14,15]
MKT-20181;[1,7,3,4,6,14,15]
MKT-20182;[3,14]
MKT-20183;[3,14]
MKT-20184;[8,13,14]
MKT-20185;[8,12,14]
MKT-20186;[3,14]
MKT-20187;[1,14]
MKT-20188;[4,5,6,15]
MKT-20189;[1,4,14]
MKT-20190;[1,4,14]
MKT-20191;[1,4,5,15]
MKT-20192;[3,4,15]
MKT-20193;[2,4,13,14,15]
MKT-20194;[2,13,14]
MKT-20195;[1,7,9,5,11,12,14]
MKT-20196;[1,6,14]
MKT-20197;[12,14]
MKT-20198;[1,7,3,9,14]
MKT-20199;[3,4,5,6,15]
MKT-20200;[10,14]
MKT-20201;[9,6,14]
MKT-20202;[1,4,6,15]
MKT-20203;[4,6,15]
MKT-20204;[1,2,4,5,6,15]
MKT-20205;[11,12,14]
MKT-20206;[1,6,15]
MKT-20207;[4,15]
MKT-20208;[8,12,14]
MKT-20209;[8,14]
MKT-20210;[5,14]
MKT-20211;[4,15]
MKT-20212;[1,14]
MKT-20213;[2,15]
MKT-20214;[3,15]
MKT-20215;[3,14]
