REVIEWER ID,CATEGORY 1,CATEGORY 2,CATEGORY 3,CATEGORY 4,CATEGORY 5,CATEGORY 6,CATEGORY 7,CATEGORY 8,CATEGORY 9,CATEGORY 10,CATEGORY 11,CATEGORY 12,CATEGORY 13,CATEGORY 14,CATEGORY 15
1,6,2,2,2,2,7,6,5,8,2,2,2,2,6,6
2,1,0,1,3,1,6,3,3,8,6,5,4,0,5,5
3,2,2,3,7,5,7,1,3,5,0,2,3,2,3,8
4,3,7,8,8,4,0,1,0,1,1,1,1,2,3,8
5,2,0,0,8,6,9,3,0,3,3,4,0,0,4,9
6,6,5,7,7,8,8,5,2,8,2,6,2,6,9,6
7,8,7,5,9,7,6,4,3,5,2,4,2,2,9,5
8,1,2,1,2,2,5,6,8,3,3,8,9,2,8,4
9,6,3,9,4,6,5,7,5,2,2,3,5,1,8,1
10,5,2,2,7,4,3,0,0,0,0,0,0,0,4,8
11,9,3,7,6,7,3,4,0,3,0,0,0,0,8,7
12,6,5,9,6,7,5,7,1,6,3,2,1,4,8,2
13,9,3,6,5,7,5,7,7,6,9,7,8,1,9,4
14,5,0,2,1,3,1,4,9,2,2,6,8,0,9,5
15,0,1,5,7,0,5,0,0,3,0,0,0,0,0,9
16,7,2,2,2,5,6,7,6,3,3,7,7,1,8,1
17,7,2,6,9,2,9,1,0,9,0,0,0,0,8,9
18,6,4,4,8,3,8,8,1,3,5,3,3,2,8,8
19,1,0,4,8,5,6,0,0,7,0,0,0,0,6,8
20,0,0,0,2,0,9,3,1,9,0,3,0,0,4,9
21,6,3,6,6,6,4,1,2,4,2,3,4,1,8,6
22,7,4,6,7,7,7,2,3,5,0,1,2,0,7,7
23,3,0,4,2,1,7,5,4,8,7,7,2,0,7,6
24,6,0,0,0,0,1,2,7,0,1,8,7,0,6,0
25,6,3,2,7,5,1,0,0,5,0,0,0,0,8,4
26,2,2,4,7,5,8,1,2,8,2,2,2,5,6,8
27,3,7,9,6,6,2,2,2,6,2,2,2,2,6,2
28,6,5,7,9,8,6,5,4,8,2,3,3,0,7,9
29,9,5,6,7,6,3,5,3,5,2,2,2,1,5,3
30,4,0,9,0,4,0,0,0,0,0,0,0,0,7,0
31,5,0,0,9,9,5,0,0,5,0,0,0,5,5,9
